112,harry porter,jk rolling,2000
111,lotm,cuttlefish,2007
101,The Catcher in the Rye,J.D. Salinger,1951
102,To Kill a Mockingbird,Harper Lee,1960
103,1984,George Orwell,1949
104,The Great Gatsby,F. Scott Fitzgerald,1925
105,Moby-Dick,Herman Melville,1851
106,War and Peace,Leo Tolstoy,1869
107,Pride and Prejudice,Jane Austen,1813
108,The Hobbit,J.R.R. Tolkien,1937
109,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997
110,The Lord of the Rings,J.R.R. Tolkien,1954

112,harry porter,jk rolling,2000
111,lotm,cuttlefish,2007
101,The Catcher in the Rye,J.D. Salinger,1951
102,To Kill a Mockingbird,Harper Lee,1960
103,1984,George Orwell,1949
104,The Great Gatsby,F. Scott Fitzgerald,1925
105,Moby-Dick,Herman Melville,1851
106,War and Peace,Leo Tolstoy,1869
107,Pride and Prejudice,Jane Austen,1813
108,The Hobbit,J.R.R. Tolkien,1937
109,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997
110,The Lord of the Rings,J.R.R. Tolkien,1954
110,,,1954
114,shadow slave,skr,2009
112,harry porter,jk rolling,2000
111,lotm,cuttlefish,2007
101,The Catcher in the Rye,J.D. Salinger,1951
102,To Kill a Mockingbird,Harper Lee,1960
103,1984,George Orwell,1949
104,The Great Gatsby,F. Scott Fitzgerald,1925
105,Moby-Dick,Herman Melville,1851
106,War and Peace,Leo Tolstoy,1869
107,Pride and Prejudice,Jane Austen,1813
108,The Hobbit,J.R.R. Tolkien,1937
109,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997
110,The Lord of the Rings,J.R.R. Tolkien,1954
110,,,1954
112,harry porter,jk rolling,2000
111,lotm,cuttlefish,2007
101,The Catcher in the Rye,J.D. Salinger,1951
102,To Kill a Mockingbird,Harper Lee,1960
103,1984,George Orwell,1949
104,The Great Gatsby,F. Scott Fitzgerald,1925
105,Moby-Dick,Herman Melville,1851
106,War and Peace,Leo Tolstoy,1869
107,Pride and Prejudice,Jane Austen,1813
108,The Hobbit,J.R.R. Tolkien,1937
109,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997
110,The Lord of the Rings,J.R.R. Tolkien,1954
110,,,1954
114,shadow lord,str,2008
112,harry porter,jk rolling,2000
111,lotm,cuttlefish,2007
101,The Catcher in the Rye,J.D. Salinger,1951
102,To Kill a Mockingbird,Harper Lee,1960
103,1984,George Orwell,1949
104,The Great Gatsby,F. Scott Fitzgerald,1925
105,Moby-Dick,Herman Melville,1851
106,War and Peace,Leo Tolstoy,1869
107,Pride and Prejudice,Jane Austen,1813
108,The Hobbit,J.R.R. Tolkien,1937
109,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997
110,The Lord of the Rings,J.R.R. Tolkien,1954
110,,,1954
112,harry porter,jk rolling,2000
111,lotm,cuttlefish,2007
101,The Catcher in the Rye,J.D. Salinger,1951
102,To Kill a Mockingbird,Harper Lee,1960
103,1984,George Orwell,1949
104,The Great Gatsby,F. Scott Fitzgerald,1925
105,Moby-Dick,Herman Melville,1851
106,War and Peace,Leo Tolstoy,1869
107,Pride and Prejudice,Jane Austen,1813
108,The Hobbit,J.R.R. Tolkien,1937
109,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997
110,The Lord of the Rings,J.R.R. Tolkien,1954
110,,,1954
112,harry porter,jk rolling,2000
111,lotm,cuttlefish,2007
101,The Catcher in the Rye,J.D. Salinger,1951
102,To Kill a Mockingbird,Harper Lee,1960
103,1984,George Orwell,1949
104,The Great Gatsby,F. Scott Fitzgerald,1925
105,Moby-Dick,Herman Melville,1851
106,War and Peace,Leo Tolstoy,1869
107,Pride and Prejudice,Jane Austen,1813
108,The Hobbit,J.R.R. Tolkien,1937
109,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997
110,The Lord of the Rings,J.R.R. Tolkien,1954
110,,,1954
112,harry porter,jk rolling,2000
111,lotm,cuttlefish,2007
101,The Catcher in the Rye,J.D. Salinger,1951
102,To Kill a Mockingbird,Harper Lee,1960
103,1984,George Orwell,1949
104,The Great Gatsby,F. Scott Fitzgerald,1925
105,Moby-Dick,Herman Melville,1851
106,War and Peace,Leo Tolstoy,1869
107,Pride and Prejudice,Jane Austen,1813
108,The Hobbit,J.R.R. Tolkien,1937
109,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997
110,The Lord of the Rings,J.R.R. Tolkien,1954
110,,,1954
